City,Latitude,Longitude,Max Temperature,Humidity %,Cloudiness %,Wind Speed (km/hr),Country,Date
Lokosovo,61.1333,74.8167,8.64,89,100,8.28,RU,1622047144
Coahuayana Viejo,18.7333,-103.6833,30.71,47,90,2.86,MX,1622047145
Kavaratti,10.5669,72.642,28.92,72,97,7.37,IN,1622046645
Wanaka,-44.7,169.15,2.98,62,9,2.27,NZ,1622047145
Ushuaia,-54.8,-68.3,-1.19,100,75,10.29,AR,1622047061
Margate,51.3813,1.3862,14.12,61,58,1.79,GB,1622047146
Kosino,58.4127,51.2782,8.93,75,99,3.02,RU,1622047146
Punta Arenas,-53.15,-70.9167,2.96,70,20,8.45,CL,1622047048
Vaini,-21.2,-175.2,18.09,100,20,0.0,TO,1622047147
Castro,-24.7911,-50.0119,18.26,48,96,1.27,BR,1622047147
Ñuñoa,-14.48,-70.6411,12.53,39,49,4.12,PE,1622047148
Leningradskiy,69.3833,178.4167,-2.33,91,31,3.23,RU,1622047147
Yellowknife,62.456,-114.3525,7.11,39,40,2.24,CA,1622047148
Vanimo,-2.6741,141.3028,25.21,90,90,2.45,PG,1622047149
Bredasdorp,-34.5322,20.0403,14.62,77,90,0.46,ZA,1622047149
Booué,-0.0921,11.9385,25.71,91,97,0.92,GA,1622047150
Sur,22.5667,59.5289,34.19,42,6,4.54,OM,1622047150
Tiksi,71.6872,128.8694,-0.19,98,85,0.78,RU,1622047150
Jamestown,42.097,-79.2353,24.82,64,75,6.71,US,1622047039
Shangzhi,45.2167,127.9667,7.75,89,83,1.77,CN,1622047045
Toccoa,34.5773,-83.3324,29.64,44,75,3.6,US,1622046907
Mataura,-46.1927,168.8643,0.8,85,36,1.46,NZ,1622047152
Hermanus,-34.4187,19.2345,14.33,83,90,1.3,ZA,1622047152
Taoudenni,22.6783,-3.9836,35.17,23,100,6.91,ML,1622047152
Gornyy,55.1153,83.9059,16.12,81,15,5.75,RU,1622047153
San Patricio,28.017,-97.5169,29.35,67,11,7.08,US,1622047154
Porto-Novo,6.4965,2.6036,30.9,73,55,5.19,BJ,1622047154
Dikson,73.5069,80.5464,-2.75,96,100,6.19,RU,1622047154
Nyuksenitsa,60.4128,44.2397,7.14,61,100,1.32,RU,1622047155
New Norfolk,-42.7826,147.0587,7.38,77,98,0.89,AU,1622047155
Cidreira,-30.1811,-50.2056,19.08,48,0,2.69,BR,1622047156
Avarua,-21.2078,-159.775,26.03,94,75,2.57,CK,1622047156
Tondano,1.3038,124.9112,20.05,96,27,1.41,ID,1622047156
Barrow,71.2906,-156.7887,-1.99,93,90,6.69,US,1622047157
Bluff,-46.6,168.3333,4.78,84,56,4.65,NZ,1622047157
Maumere,-8.6199,122.2111,26.25,80,55,2.07,ID,1622047158
Narsaq,60.9167,-46.05,1.12,97,100,2.06,GL,1622047158
Hilo,19.7297,-155.09,22.03,80,90,2.57,US,1622047159
Lavrentiya,65.5833,-171.0,1.05,73,24,5.34,RU,1622047159
Udachny,66.4167,112.4,8.09,64,40,1.3,RU,1622046645
Upernavik,72.7868,-56.1549,0.44,86,64,4.33,GL,1622046638
George Town,5.4112,100.3354,28.84,81,40,2.06,MY,1622047017
São Filipe,14.8961,-24.4956,24.5,70,1,3.29,CV,1622047160
Hithadhoo,-0.6,73.0833,28.68,73,94,8.82,MV,1622047160
Nikolskoye,59.7035,30.7861,11.79,89,82,3.95,RU,1622047161
Cape Town,-33.9258,18.4232,15.1,74,0,0.45,ZA,1622047014
Troitsko-Pechorsk,62.7084,56.1964,6.58,43,98,3.54,RU,1622047162
Albany,42.6001,-73.9662,28.79,57,41,0.45,US,1622046980
Port Alfred,-33.5906,26.891,16.53,74,94,1.97,ZA,1622047162
Bengkulu,-3.8004,102.2655,25.61,84,100,2.07,ID,1622046947
Asău,46.4333,26.4,15.53,81,88,1.17,RO,1622046991
Hasaki,35.7333,140.8333,17.82,79,100,3.96,JP,1622046975
Sitka,57.0531,-135.33,7.94,87,90,0.0,US,1622046630
Rikitea,-23.1203,-134.9692,24.84,79,38,11.23,PF,1622046977
Olafsvik,64.8945,-23.7142,8.83,77,96,4.12,IS,1622047164
Prado,-17.3411,-39.2208,25.76,75,98,2.38,BR,1622047164
Lebu,-37.6167,-73.65,15.92,81,98,3.63,CL,1622047165
Saint Paul Harbor,57.79,-152.4072,10.73,54,1,7.72,US,1622047140
Iralaya,15.0,-83.2333,29.23,69,86,7.13,HN,1622047165
Palmer,42.1584,-72.3287,29.26,54,40,2.24,US,1622047165
Busselton,-33.65,115.3333,11.69,64,100,5.46,AU,1622047166
Ribeira Grande,38.5167,-28.7,20.22,56,20,2.06,PT,1622047166
Roald,62.5833,6.1333,17.47,76,56,12.85,NO,1622046712
Norman Wells,65.282,-126.8329,8.02,66,75,4.63,CA,1622047167
Ponta do Sol,32.6667,-17.1,21.41,71,90,1.63,PT,1622047167
Dawei,14.0833,98.2,24.98,96,100,1.18,MM,1622047168
Esperance,-33.8667,121.9,11.91,67,96,6.75,AU,1622047168
Sonoita,31.85,-112.8333,31.41,12,54,6.88,MX,1622047169
Alofi,-19.0595,-169.9187,23.94,94,88,1.54,NU,1622046606
Pytalovo,57.0679,27.9138,12.49,79,22,4.88,RU,1622047169
Sibolga,1.7427,98.7792,25.62,90,100,1.88,ID,1622046939
Katsuura,35.1333,140.3,18.15,83,100,2.7,JP,1622047170
Torbay,47.6666,-52.7314,9.43,88,90,3.09,CA,1622046928
Haines Junction,60.7522,-137.5108,7.97,76,100,1.54,CA,1622047171
Saint-Philippe,-21.3585,55.7679,22.3,83,53,1.59,RE,1622047171
Butaritari,3.0707,172.7902,28.52,78,100,8.9,KI,1622047171
Geraldton,-28.7667,114.6,14.23,47,100,6.95,AU,1622047172
Qaanaaq,77.484,-69.3632,1.75,73,5,1.88,GL,1622047172
Thompson,55.7435,-97.8558,-2.91,63,90,5.14,CA,1622047173
Khatanga,71.9667,102.5,-1.82,96,100,4.65,RU,1622047173
Spearfish,44.4908,-103.8594,11.27,50,75,10.8,US,1622047177
Itarema,-2.9248,-39.9167,30.61,55,62,6.33,BR,1622047177
Storslett,69.7678,21.0247,8.0,66,0,4.12,NO,1622047177
Kruisfontein,-34.0033,24.7314,14.94,84,81,1.05,ZA,1622047178
Saint-François,46.4154,3.9054,17.69,55,75,4.63,FR,1622047179
Kavieng,-2.5744,150.7967,26.87,84,100,3.69,PG,1622047179
Padang,-0.9492,100.3543,26.75,87,92,1.99,ID,1622047179
Muros,42.7762,-9.0603,22.27,48,64,5.79,ES,1622047180
Laramie,41.3114,-105.5911,17.75,25,1,5.14,US,1622047180
Pangnirtung,66.1451,-65.7125,-1.0,86,20,5.14,CA,1622047180
Bitung,1.4451,125.1824,24.47,86,25,4.71,ID,1622047181
Puerto Ayora,-0.7393,-90.3518,24.75,88,28,1.79,EC,1622047181
East London,-33.0153,27.9116,17.52,88,0,2.06,ZA,1622047182
Carnarvon,-24.8667,113.6333,16.04,63,100,5.14,AU,1622047182
Vuktyl,63.8567,57.3094,6.65,41,99,4.03,RU,1622046725
Srandakan,-7.9386,110.2506,25.56,83,74,2.51,ID,1622047183
Cantavir,45.9219,19.7627,19.02,52,0,2.15,RS,1622047184
Mackay,-21.15,149.2,15.02,94,9,1.54,AU,1622047184
Kirksville,40.1948,-92.5833,25.64,58,1,0.45,US,1622047184
Hobart,-42.8794,147.3294,7.71,87,75,4.2,AU,1622047185
Hobyo,5.3505,48.5268,26.28,77,66,9.1,SO,1622047186
Labytnangi,66.6572,66.4183,4.08,48,92,4.06,RU,1622047186
Road Town,18.4167,-64.6167,29.01,74,20,5.66,VG,1622047186
The Valley,18.217,-63.0578,29.44,65,40,7.72,AI,1622046693
Dhadar,28.3305,75.0632,36.7,17,1,1.35,IN,1622047187
Chegdomyn,51.1167,133.0167,3.56,94,99,1.4,RU,1622047187
Cap Malheureux,-19.9842,57.6142,23.04,79,2,1.34,MU,1622047188
Cabo San Lucas,22.8909,-109.9124,31.15,42,20,3.6,MX,1622047081
Kudahuvadhoo,2.6708,72.8944,28.83,74,97,9.53,MV,1622047189
Pevek,69.7008,170.3133,-4.06,87,15,0.84,RU,1622047189
Fortuna,40.5982,-124.1573,10.83,88,48,3.06,US,1622047122
Anito,12.4497,125.2886,26.25,88,88,2.4,PH,1622047190
Coyhaique,-45.5752,-72.0662,10.96,62,75,3.09,CL,1622046712
Fiumicino,41.7675,12.2291,22.23,46,0,4.12,IT,1622047190
Spasskoye,44.6108,132.7969,9.2,68,97,2.19,RU,1622047191
Severo-Kuril'sk,50.6789,156.125,3.34,98,100,6.86,RU,1622047191
Kirando,-7.4167,30.6,22.77,66,5,2.08,TZ,1622047027
Grand Gaube,-20.0064,57.6608,22.99,79,3,1.34,MU,1622047192
La Ronge,55.1001,-105.2842,2.14,51,1,2.57,CA,1622047192
Caravelas,-17.7125,-39.2481,24.55,88,87,3.01,BR,1622047193
Araouane,18.9048,-3.5265,42.25,12,97,4.22,ML,1622046719
Klaksvík,62.2266,-6.589,10.51,76,83,8.29,FO,1622047193
Lüderitz,-26.6481,15.1594,17.69,73,4,3.15,NA,1622047194
Yangi Marg`ilon,40.4272,71.7189,23.68,32,56,2.97,UZ,1622047194
Broome,42.2506,-75.833,28.88,55,1,2.24,US,1622047195
Wynyard,-41.0,145.7167,9.43,85,62,6.56,AU,1622047195
Saint George,37.1041,-113.5841,27.84,13,1,0.45,US,1622046319
Mar del Plata,-38.0023,-57.5575,15.91,59,0,7.15,AR,1622047146
Bumba,2.1833,22.4667,26.39,70,98,1.35,CD,1622047196
Ilo,-17.6394,-71.3375,19.48,73,0,3.09,PE,1622047197
Atuona,-9.8,-139.0333,26.05,73,33,5.31,PF,1622047197
Laas,46.6166,10.7002,17.6,88,96,1.0,IT,1622047197
Verkhnevilyuysk,63.4453,120.3167,6.32,88,91,1.69,RU,1622046732
Harper,4.375,-7.7169,28.47,74,60,3.98,LR,1622047198
Pacific Grove,36.6177,-121.9166,11.66,87,90,2.24,US,1622047198
Necochea,-38.5473,-58.7368,18.91,54,100,8.72,AR,1622047199
Souillac,-20.5167,57.5167,23.21,94,75,2.51,MU,1622047199
Bilibino,68.0546,166.4372,3.05,63,49,2.43,RU,1622047200
Faanui,-16.4833,-151.75,27.36,75,55,6.54,PF,1622047200
Saldanha,-33.0117,17.9442,16.03,80,89,2.91,ZA,1622047200
Karratha,-20.7377,116.8463,23.0,52,69,8.31,AU,1622047089
Lorengau,-2.0226,147.2712,26.77,85,100,1.89,PG,1622047201
Grandview,38.8858,-94.533,25.49,73,1,0.89,US,1622047204
Vostok,46.4856,135.8833,4.1,87,47,2.03,RU,1622047204
Konstantinovka,49.6167,127.9833,6.78,90,44,1.79,RU,1622047205
Camocim,-2.9022,-40.8411,31.62,53,26,3.13,BR,1622046907
São Félix do Xingu,-6.6447,-51.995,33.77,35,5,2.56,BR,1622047206
Petropavlovsk-Kamchatskiy,53.0452,158.6483,3.33,100,90,3.1,RU,1622047206
Boyolangu,-8.1181,111.8935,23.99,93,39,0.19,ID,1622047207
Nivala,63.9167,24.9667,10.94,69,99,5.4,FI,1622047207
Tuktoyaktuk,69.4541,-133.0374,-3.0,93,90,2.06,CA,1622047208
Saskylakh,71.9167,114.0833,6.3,84,100,1.62,RU,1622047208
Solnechnyy,50.7214,136.6319,0.76,95,100,0.55,RU,1622046659
Makakilo City,21.3469,-158.0858,21.33,81,1,2.06,US,1622047209
Guerrero Negro,27.9769,-114.0611,20.87,55,98,4.72,MX,1622046623
Berlevåg,70.8578,29.0864,3.97,65,75,1.03,NO,1622047209
Nyimba,-14.5566,30.8149,17.46,54,0,1.72,ZM,1622047210
Chokurdakh,70.6333,147.9167,-0.46,81,35,3.79,RU,1622047210
Thinadhoo,0.5333,72.9333,29.22,69,89,9.1,MV,1622047211
Atherton,53.5237,-2.4935,14.01,70,98,2.24,GB,1622047158
Cravo Norte,6.3017,-70.2041,25.98,84,97,1.34,CO,1622047211
Fukuechō,32.6881,128.8419,16.68,95,100,13.41,JP,1622047212
Saint-Augustin,51.226,-58.6502,8.81,56,90,4.99,CA,1622047212
La Antigua,6.7153,-76.079,22.48,70,57,1.21,CO,1622047212
Inhambane,-23.865,35.3833,20.99,73,0,0.0,MZ,1622047213
Ostrovnoy,68.0531,39.5131,2.73,65,20,1.45,RU,1622046735
Mount Isa,-20.7333,139.5,17.87,24,40,7.72,AU,1622047213
Tasiilaq,65.6145,-37.6368,3.09,96,100,16.71,GL,1622047214
Bethel,41.3712,-73.414,27.65,63,1,0.89,US,1622047214
Te Anau,-45.4167,167.7167,4.4,92,85,1.41,NZ,1622047215
Manaure,11.7751,-72.4445,31.73,52,100,10.66,CO,1622047215
Portland,45.5234,-122.6762,14.62,70,75,0.89,US,1622047053
Canjulao,9.6605,124.3532,25.49,85,69,0.65,PH,1622047216
Verkhnyaya Inta,65.9811,60.3094,4.56,44,68,6.23,RU,1622047217
Probistip,42.0031,22.1786,23.61,73,49,1.36,MK,1622047175
Port Elizabeth,-33.918,25.5701,16.16,77,0,1.54,ZA,1622047218
Port Moresby,-9.4431,147.1797,20.68,94,40,1.54,PG,1622047218
Provideniya,64.3833,-173.3,6.42,47,69,7.3,RU,1622047218
Asahikawa,43.7678,142.3703,7.86,80,77,2.31,JP,1622047219
Paamiut,61.994,-49.6678,3.07,75,100,0.91,GL,1622047219
Gambēla,8.25,34.5833,25.09,78,91,1.02,ET,1622047220
Yining,29.0361,114.5636,18.59,97,99,1.44,CN,1622047221
Longyearbyen,78.2186,15.6401,1.91,69,75,3.6,SJ,1622047175
Takoradze,4.8845,-1.7554,28.87,73,50,5.39,GH,1622047221
Sobolevo,54.4299,31.8996,13.59,79,99,1.56,RU,1622046690
Kongolo,-5.3833,27.0,25.35,54,6,1.77,CD,1622047222
Bereket,39.2446,55.5154,23.32,61,91,8.33,TM,1622047222
Arraial do Cabo,-22.9661,-42.0278,23.92,69,40,4.12,BR,1622047223
Oktyabr'skiy,54.4815,53.471,13.64,72,31,2.89,RU,1622047223
Ocós,14.5094,-92.1933,32.15,58,63,1.89,GT,1622047224
Port Hardy,50.6996,-127.4199,9.1,76,90,3.09,CA,1622047224
Mahébourg,-20.4081,57.7,23.16,94,75,0.0,MU,1622047225
Prymors'k,46.7348,36.3443,19.7,63,100,0.24,UA,1622047226
Kautokeino,69.0125,23.0412,4.44,62,93,0.49,NO,1622047226
Burns Lake,54.2331,-125.7533,5.68,56,100,0.93,CA,1622047227
Palāsbāri,26.1361,91.5486,25.03,94,90,0.0,IN,1622047227
Burē,10.7,37.0667,20.84,42,98,2.1,ET,1622047228
Bambous Virieux,-20.3428,57.7575,23.14,94,75,2.9,MU,1622047228
Cayenne,4.9333,-52.3333,29.49,82,40,2.24,GF,1622047229
Port-Gentil,-0.7193,8.7815,27.98,83,75,5.14,GA,1622047229
La Fria,8.2203,-72.2439,31.06,47,10,2.53,VE,1622047229
Port Blair,11.6667,92.75,28.88,83,100,7.44,IN,1622047230
Kailua,21.4022,-157.7394,23.54,73,20,2.06,US,1622047230
Paraopeba,-19.2757,-44.4033,28.64,39,26,3.48,BR,1622047231
Trivandrum,8.4833,76.9167,27.99,83,40,5.14,IN,1622047047
Griffith,41.5284,-87.4237,24.42,64,1,2.24,US,1622047232
Aklavik,68.2191,-135.0107,-1.0,80,90,6.69,CA,1622047225
Garoowe,8.4054,48.4845,28.7,40,99,6.59,SO,1622047233
Honiara,-9.4333,159.95,24.61,85,100,1.97,SB,1622046710
Esil,51.9556,66.4042,19.72,72,74,4.09,KZ,1622047233
Mizdah,31.4451,12.9801,31.87,16,96,6.81,LY,1622047234
Yarke Pole,45.608,34.3172,17.91,71,30,3.27,UA,1622047234
Mossamedes,-15.1961,12.1522,25.17,63,0,2.42,AO,1622047228
Hong Kong,22.2855,114.1577,29.27,83,68,1.34,HK,1622046970
Valdivia,-39.8142,-73.2459,14.05,99,100,1.81,CL,1622046694
Bandundu Province,-3.3167,17.3667,27.38,53,76,1.84,CD,1622047236
Cherskiy,68.75,161.3,10.74,47,27,1.5,RU,1622046659
Nanortalik,60.1432,-45.2371,1.34,96,100,3.98,GL,1622047237
Clyde River,70.4692,-68.5914,-0.87,86,40,7.72,CA,1622047223
Huilong,31.8111,121.655,19.99,94,100,4.64,CN,1622047237
Neiafu,-18.65,-173.9833,21.38,100,90,1.03,TO,1622047238
Barabash,43.2,131.4833,12.82,96,100,1.85,RU,1622047238
Terrace,54.5163,-128.6035,6.95,100,90,2.06,CA,1622047022
Cervo,43.6702,-7.4101,23.44,62,59,3.75,ES,1622047239
Dunedin,-45.8742,170.5036,7.11,48,3,3.58,NZ,1622047239
Marsh Harbour,26.5412,-77.0636,25.07,68,8,4.15,BS,1622046664
Half Moon Bay,37.4636,-122.4286,15.75,71,40,3.09,US,1622046507
Yeppoon,-23.1333,150.7333,12.88,81,1,1.36,AU,1622047240
Fort-Shevchenko,44.5086,50.263,19.65,86,100,9.42,KZ,1622047241
Valparaíso,-33.0393,-71.6273,23.34,29,0,5.14,CL,1622047241
Nome,64.5011,-165.4064,12.04,26,1,5.14,US,1622046956
Narrabri,-30.3167,149.7833,6.05,75,2,2.06,AU,1622047242
Mehamn,71.0357,27.8492,3.97,60,75,1.03,NO,1622047227
Pinawa,50.1489,-95.8811,5.8,39,96,4.04,CA,1622047242
Wichita Falls,33.9137,-98.4934,28.75,66,1,3.13,US,1622047214
Codajás,-3.8367,-62.0569,32.41,52,39,1.86,BR,1622047243
Salta,-24.7859,-65.4117,19.21,55,0,0.89,AR,1622047244
Aiken,33.5835,-81.5998,32.24,42,1,3.19,US,1622047035
Rocha,-34.4833,-54.3333,16.47,55,43,5.02,UY,1622047244
Shelburne,44.0787,-80.2041,18.01,89,99,7.54,CA,1622047245
Atambua,-9.1061,124.8925,22.3,85,80,3.01,ID,1622047245
Farmington,36.7281,-108.2187,19.59,17,1,3.09,US,1622047245
Ugoofaaru,5.6667,73.0,26.75,85,100,11.87,MV,1622047246
Shimoda,34.6667,138.95,17.28,77,100,4.39,JP,1622046973
Avera,33.194,-82.5271,31.87,38,42,2.75,US,1622047246
El Retorno,2.3302,-72.6276,25.78,90,97,1.29,CO,1622047247
Tabou,4.423,-7.3528,28.42,74,82,4.11,CI,1622047248
Williams Lake,52.1415,-122.1445,11.76,81,75,4.63,CA,1622047116
Mayumba,-3.432,10.6554,26.49,88,38,3.33,GA,1622047249
Kampot,10.6167,104.1833,28.03,88,100,3.13,KH,1622046976
Chapais,49.7834,-74.8492,20.88,72,100,7.86,CA,1622047249
Cananea,30.95,-110.3,24.74,12,100,4.93,MX,1622047250
Faya,18.3851,42.4509,23.29,48,46,2.26,SA,1622047250
San Andrés,12.5847,-81.7006,31.01,70,40,8.23,CO,1622046722
Kapaa,22.0752,-159.319,21.18,88,1,3.3,US,1622047251
Tazovsky,67.4667,78.7,-2.62,88,19,2.98,RU,1622047251
Houma,29.5958,-90.7195,28.71,67,40,0.0,US,1622047200
Aykhal,66.0,111.5,6.46,70,61,2.54,RU,1622047252
Chui,-33.6971,-53.4616,16.14,50,36,4.27,UY,1622047252
Nabire,-3.3667,135.4833,24.08,90,100,0.66,ID,1622047253
Les Cayes,18.2,-73.75,30.9,61,16,5.27,HT,1622047253
Kloulklubed,7.0419,134.2556,25.28,77,100,5.15,PW,1622047253
Nantucket,41.2835,-70.0995,18.34,89,90,6.69,US,1622047254
Lagoa,39.05,-27.9833,15.08,66,89,8.38,PT,1622047254
Yura,-16.2522,-71.6797,18.29,26,0,4.4,PE,1622047256
Ngunguru,-35.6167,174.5,7.87,79,52,4.44,NZ,1622046677
Ancud,-41.8697,-73.8203,13.17,97,100,3.98,CL,1622047257
Sainte-Maxime,43.3,6.6333,18.69,67,67,1.68,FR,1622047257
Ambilobe,-13.2,49.05,21.55,84,5,1.32,MG,1622047258
Aravete,59.1403,25.7485,8.69,93,100,4.97,EE,1622047258
Jalu,29.0331,21.5482,35.42,7,0,4.41,LY,1622046741
Lashio,22.9333,97.75,21.69,93,100,0.54,MM,1622047259
Tura,25.5198,90.2201,22.26,91,82,2.35,IN,1622047259
Sai Buri,6.7013,101.6168,25.02,93,100,2.08,TH,1622047259
Malmesbury,-33.4608,18.7271,14.74,81,95,1.28,ZA,1622047260
Flinders,-34.5833,150.8552,10.64,70,1,0.45,AU,1622047260
Belaya Gora,68.5333,146.4167,8.1,68,93,5.6,RU,1622047261
Diamantino,-14.4086,-56.4461,33.37,41,5,0.19,BR,1622047261
Qaqortoq,60.7167,-46.0333,1.28,98,100,1.77,GL,1622047261
Anchorage,61.2181,-149.9003,11.74,63,1,0.45,US,1622047161
Samoded,63.6083,40.5111,6.35,58,85,2.69,RU,1622047262
Hualmay,-11.0964,-77.6139,21.64,73,35,3.94,PE,1622046672
Opuwo,-18.0607,13.84,20.04,29,0,3.93,NA,1622047263
Vestmanna,62.1564,-7.1664,9.51,66,75,5.37,FO,1622047263
Kjøllefjord,70.9457,27.3465,3.99,60,75,1.76,NO,1622047264
